item	A	B
academic-1	evals/output/competitor-text	evals/output/v11
academic-2	evals/output/competitor-text	evals/output/v11
academic-3	evals/output/competitor-text	evals/output/v11
academic-4	evals/output/v11	evals/output/competitor-text
academic-5	evals/output/v11	evals/output/competitor-text
blog-1	evals/output/v11	evals/output/competitor-text
blog-2	evals/output/v11	evals/output/competitor-text
blog-3	evals/output/competitor-text	evals/output/v11
blog-4	evals/output/v11	evals/output/competitor-text
blog-5	evals/output/v11	evals/output/competitor-text
blog-6	evals/output/competitor-text	evals/output/v11
corporate-1	evals/output/v11	evals/output/competitor-text
corporate-2	evals/output/competitor-text	evals/output/v11
corporate-3	evals/output/competitor-text	evals/output/v11
corporate-4	evals/output/competitor-text	evals/output/v11
corporate-5	evals/output/v11	evals/output/competitor-text
technical-1	evals/output/v11	evals/output/competitor-text
technical-2	evals/output/competitor-text	evals/output/v11
technical-3	evals/output/competitor-text	evals/output/v11
technical-4	evals/output/competitor-text	evals/output/v11
technical-5	evals/output/competitor-text	evals/output/v11
